,0,1,2,3
0,都道府県名,陽性者数 検査人数※5,,％
1,北海道,983,"9,690",10.1%
2,"青森
※1",27,784,3.4%
3,"岩手
※1",0,457,0.0%
4,宮城,88,"2,428",3.6%
5,秋田,16,899,1.8%
6,"山形
※1",69,"2,525",2.7%
7,福島,81,"2,802",2.9%
8,茨城,168,"4,145",4.1%
9,栃木,57,"2,642",2.2%
10,群馬,147,"3,188",4.6%
11,埼玉,977,"14,908",6.6%
12,千葉,888,"11,966",7.4%
13,"東京
※2","5,027","13,799",36.4%
14,"神奈川
※1
※3","1,236 
(272)","2,604",10.4%
15,新潟,82,"3,605",2.3%
16,富山,224,"2,915",7.7%
17,石川,284,"2,426",11.7%
18,"福井
※1",122,"2,207",5.5%
19,山梨,57,"3,162",1.8%
20,長野,76,"2,285",3.3%
21,岐阜,150,"2,990",5.0%
22,静岡,73,"3,237",2.3%
23,愛知,501,"8,773",5.7%
24,三重,45,"2,219",2.0%
