,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,北海道,"1,720","40,089",4.3%
2,"青森
※３",33,"1,918",1.7%
3,"岩手
※３※６",12,"2,698",0.4%
4,"宮城
※３",192,"7,491",2.6%
5,秋田,46,"1,700",2.7%
6,山形,77,"3,076",2.5%
7,"福島
※３",134,"13,363",1.0%
8,茨城,512,"10,111",5.1%
9,"栃木
※３",289,"20,367",1.4%
10,"群馬
※３※６",392,"12,567",3.1%
11,埼玉,"3,627","99,813",3.6%
12,千葉,"2,834","51,262",5.5%
13,"東京
※１","19,610","295,391",6.6%
14,神奈川,"4,516","104,985",4.3%
15,"新潟
※６",139,"11,989",1.2%
16,"富山
※６",349,"7,142",4.9%
17,"石川
※３",585,"6,862",8.5%
18,"福井
※３",171,"6,604",2.6%
19,"山梨
※３",168,"9,247",1.8%
20,"長野
※３※６",185,"12,600",1.5%
21,"岐阜
※６",548,"17,057",3.2%
22,"静岡
※３、５",453,"22,806",2.0%
23,愛知,"4,230","47,890",8.8%
24,"三重
※３",353,"9,004",3.9%
