,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,北海道,"1,200","19,481",6.2%
2,"青森
※３",27,950,2.8%
3,"岩手
※３",0,888,0.0%
4,"宮城
※３",90,"3,534",2.5%
5,秋田,16,985,1.6%
6,山形,69,"2,509",2.8%
7,"福島
※３",82,"6,328",1.3%
8,茨城,170,"5,192",3.3%
9,"栃木
※３",66,"6,407",1.0%
10,"群馬
※３",152,"4,718",3.2%
11,埼玉,"1,063","32,115",3.3%
12,千葉,933,"17,416",5.4%
13,"東京
※１","5,895","71,904",8.2%
14,神奈川,"1,438","12,202",11.8%
15,"新潟
※３",84,"4,815",1.7%
16,富山,227,"3,859",5.9%
17,"石川
※３",300,"2,879",10.4%
18,"福井
※３",122,"3,280",3.7%
19,"山梨
※３",72,"5,401",1.3%
20,"長野
※３",77,"3,166",2.4%
21,岐阜,156,"4,926",3.2%
22,"静岡
※３、６",80,"7,108",1.1%
23,愛知,523,"12,180",4.3%
24,"三重
※３",46,"2,798",1.6%
