,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,"滋賀
※３※６",145,"3,573",4.1%
2,京都,586,"14,909",3.9%
3,"大阪
※３※６","2,766","59,472",4.7%
4,"兵庫
※３,４,6",883,"20,675",4.3%
5,"奈良
※６",184,"7,978",2.3%
6,和歌山,109,"5,306",2.1%
7,"鳥取
※３",5,"2,261",0.2%
8,"島根
※６",26,"2,046",1.3%
9,岡山,45,"2,507",1.8%
10,"広島
※３",227,"9,665",2.3%
11,山口,47,"3,440",1.4%
12,"徳島
※３",10,"1,487",0.7%
13,"香川
※６",45,"4,184",1.1%
14,愛媛,83,"2,757",3.0%
15,高知,77,"2,155",3.6%
16,福岡,"1,174","20,267",5.8%
17,"佐賀
※３",57,"1,864",3.1%
18,⻑崎,47,"5,522",0.9%
19,熊本,57,"4,607",1.2%
20,大分,60,"5,950",1.0%
21,宮崎,23,"1,868",1.2%
22,鹿児島,174,"8,642",2.0%
23,"沖縄
※３",162,"5,941",2.7%
24,"⻑崎船
※２
その他",149,-,-
25,合計,"27,441","587,495",4.7%
