,0,1,2,3
0,都道府県名,,陽性者数 検査人数※5,％
1,滋賀,97,"1,529",6.3%
2,京都,357,"6,032",5.9%
3,大阪,"1,765","18,416",9.6%
4,兵庫,697,"9,653",7.2%
5,奈良,90,"2,383",3.8%
6,和歌山,63,"3,450",1.8%
7,鳥取,3,"1,213",0.2%
8,島根,24,957,2.5%
9,岡山,25,"1,466",1.7%
10,広島,165,"6,250",2.6%
11,山口,37,"1,585",2.3%
12,徳島,5,635,0.8%
13,香川,28,"1,907",1.5%
14,愛媛,68,"1,393",4.9%
15,高知,74,"1,624",4.6%
16,"福岡
※1",657,"12,119",5.4%
17,"佐賀
※1",46,"1,285",3.6%
18,長崎,17,"2,477",0.7%
19,"熊本
※1",48,"3,623",1.3%
20,大分,60,"3,590",1.7%
21,宮崎,17,"1,278",1.3%
22,鹿児島 ※1,10,"1,536",0.7%
23,沖縄,142,"2,643",5.4%
24,その他 ※4,149,623,23.9%
25,合計,"16,022 
(15,058)","194,323",7.7%
