,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,北海道,"4,820","101,035",4.8%
2,"青森
※3",275,"6,100",4.5%
3,"※3※4※5
岩手",51,"5,988",0.9%
4,"宮城
※3※5",943,"15,890",5.9%
5,秋田,70,"2,695",2.6%
6,山形,94,"6,981",1.3%
7,"福島
※3",428,"34,760",1.2%
8,茨城,906,"14,703",6.2%
9,"栃木
※3※5",509,"47,905",1.1%
10,"群馬
※3※5",951,"32,726",2.9%
11,"埼玉
※4","6,637","206,246",3.2%
12,千葉,"5,633","142,152",4.0%
13,"東京
※1","34,144","659,488",5.2%
14,神奈川,"9,895","220,848",4.5%
15,"新潟
※3※5",224,"19,367",1.2%
16,"富山
※3※5",425,"15,642",2.7%
17,"石川
※3",827,"19,519",4.2%
18,"福井
※3",271,"12,106",2.2%
19,"山梨
※3",275,"12,472",2.2%
20,"長野
※3※5",429,"25,663",1.7%
21,"岐阜
※5",796,"29,011",2.7%
22,"静岡
※3※4",822,"48,055",1.7%
23,"※3※4※5
愛知","7,299","113,195",6.4%
24,"三重
※3",610,"17,127",3.6%
