,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,"滋賀
※３※６",452,"9,273",4.9%
2,京都,"1,452","31,696",4.6%
3,"大阪
※３※６","8,656","136,336",6.3%
4,"兵庫
※３,４,6","2,276","44,670",5.1%
5,"奈良
※６",523,"12,972",4.0%
6,和歌山,230,"8,627",2.7%
7,"鳥取
※３",22,"4,557",0.5%
8,"島根
※６",137,"4,890",2.8%
9,岡山,145,"5,880",2.5%
10,"広島
※３",458,"17,843",2.6%
11,山口,170,"6,930",2.5%
12,"徳島
※３",133,"5,935",2.2%
13,"香川
※６",77,"8,176",0.9%
14,愛媛,114,"3,813",3.0%
15,高知,128,"3,051",4.2%
16,福岡,"4,598","40,915",11.2%
17,"佐賀
※３",237,"5,132",4.6%
18,長崎,232,"14,766",1.6%
19,熊本,524,"11,485",4.6%
20,大分,147,"12,462",1.2%
21,宮崎,337,"8,080",4.2%
22,鹿児島,362,"15,890",2.3%
23,"沖縄
※３","2,139","25,614",8.4%
24,"長崎船
※２
その他",149,0,-
25,合計,"68,196","1,340,216",5.1%
