,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,北海道,"1,834","47,473",3.9%
2,"青森
※３",35,"2,153",1.6%
3,"岩手
※３※６",23,"3,458",0.7%
4,"宮城
※３",249,"8,369",3.0%
5,秋田,50,"1,841",2.7%
6,山形,78,"3,133",2.5%
7,"福島
※３",184,"16,069",1.1%
8,茨城,588,"11,350",5.2%
9,"栃木
※３",316,"24,434",1.3%
10,"群馬
※３※６",497,"16,123",3.1%
11,埼玉,"4,148","119,096",3.5%
12,千葉,"3,258","60,485",5.4%
13,"東京
※１","22,019","360,918",6.1%
14,神奈川,"5,523","125,034",4.4%
15,"新潟
※６",146,"13,473",1.1%
16,"富山
※６",407,"10,437",3.9%
17,"石川
※３",712,"9,728",7.3%
18,"福井
※３",244,"8,967",2.7%
19,"山梨
※３",178,"9,851",1.8%
20,"⾧野
※３※６",292,"16,526",1.8%
21,"岐阜
※６",566,"19,111",3.0%
22,"静岡
※３、５",494,"27,924",1.8%
23,愛知,"4,719","59,105",8.0%
24,"三重
※３",435,"10,665",4.1%
