,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,"滋賀
※5※6",646,"14,966",4.3%
2,京都,"2,222","55,975",4.0%
3,"大阪
※3※5","14,870","266,357",5.6%
4,"※3※4※5
兵庫","3,747","75,625",5.0%
5,"奈良
※5",812,"27,245",3.0%
6,和歌山,308,"10,987",2.8%
7,"鳥取
※3",52,"6,090",0.9%
8,"島根
※5",141,"6,354",2.2%
9,"岡山
※4",367,"14,762",2.5%
10,"広島
※3",684,"29,759",2.3%
11,"山口
※4",248,"12,510",2.0%
12,"徳島
※3",170,"7,642",2.2%
13,"香川
※5",113,"14,848",0.8%
14,愛媛,123,"4,529",2.7%
15,高知,144,"3,686",3.9%
16,"※3※4※5
福岡","5,360","178,418",3.0%
17,"佐賀
※3",276,"8,003",3.4%
18,長崎,249,"24,364",1.0%
19,熊本,887,"21,374",4.1%
20,大分,163,"22,882",0.7%
21,宮崎,373,"8,829",4.2%
22,鹿児島,542,"24,653",2.2%
23,"沖縄
※3","3,669","64,314",5.7%
24,"長崎船
※2
その他",149,0,-
25,合計,"113,649","2,713,846",4.2%
