,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,北海道,"6,380","119,279",5.3%
2,"青森
※3",280,"6,349",4.4%
3,"※3※4※5
岩手",112,"7,411",1.5%
4,"宮城
※3※5","1,061","17,169",6.2%
5,秋田,74,"3,155",2.3%
6,山形,107,"7,144",1.5%
7,"福島
※3",466,"36,945",1.3%
8,茨城,"1,139","15,503",7.3%
9,"栃木
※3※5",550,"49,184",1.1%
10,"群馬
※3※5","1,016","33,976",3.0%
11,"埼玉
※4","7,326","216,902",3.4%
12,千葉,"6,199","153,635",4.0%
13,"東京
※1","36,778","701,481",5.2%
14,神奈川,"10,988","234,414",4.7%
15,"新潟
※3※5",286,"20,632",1.4%
16,"富山
※3※5",441,"16,124",2.7%
17,"石川
※3",831,"20,483",4.1%
18,"福井
※3",298,"13,346",2.2%
19,"山梨
※3",298,"12,801",2.3%
20,"長野
※3※5",567,"27,741",2.0%
21,"岐阜
※5",890,"30,992",2.9%
22,"静岡
※3※4","1,111","51,416",2.2%
23,"※3※4※5
愛知","8,262","122,758",6.7%
24,"三重
※3",684,"18,271",3.7%
