,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,北海道,"1,296","23,539",5.5%
2,"青森
※３",29,"1,104",2.6%
3,"岩手
※３※６",0,"1,152",0.0%
4,"宮城
※３",108,"4,652",2.3%
5,秋田,16,"1,018",1.6%
6,山形,73,"2,659",2.7%
7,"福島
※３",84,"8,027",1.0%
8,茨城,204,"5,854",3.5%
9,"栃木
※３",98,"9,645",1.0%
10,"群馬
※３",156,"5,884",2.7%
11,埼玉,"1,530","46,737",3.3%
12,千葉,"1,162","21,193",5.5%
13,"東京
※１※３","8,189","121,821",6.7%
14,神奈川,"1,786","14,495",12.3%
15,"新潟
※３",87,"5,365",1.6%
16,富山,230,"4,319",5.3%
17,"石川
※３",300,"2,964",10.1%
18,"福井
※３",124,"3,726",3.3%
19,"山梨
※３",76,"6,289",1.2%
20,"長野
※３",79,"4,640",1.7%
21,"岐阜
※６",165,"5,934",2.8%
22,"静岡
※３、５",96,"9,063",1.1%
23,愛知,532,"14,487",3.7%
24,"三重
※３",50,"3,107",1.6%
