,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,北海道,"5,683","110,887",5.1%
2,"青森
※3",280,"6,221",4.5%
3,"※3※4※5
岩手",77,"6,659",1.2%
4,"宮城
※3※5",995,"16,563",6.0%
5,秋田,74,"2,878",2.6%
6,山形,98,"7,046",1.4%
7,"福島
※3",441,"35,697",1.2%
8,茨城,"1,032","15,108",6.8%
9,"栃木
※3※5",523,"48,723",1.1%
10,"群馬
※3※5",964,"33,217",2.9%
11,"埼玉
※4","6,996","209,032",3.3%
12,千葉,"5,937","147,396",4.0%
13,"東京
※1","35,229","679,943",5.2%
14,神奈川,"10,349","226,157",4.6%
15,"新潟
※3※5",259,"20,160",1.3%
16,"富山
※3※5",429,"15,581",2.8%
17,"石川
※3",830,"19,897",4.2%
18,"福井
※3",278,"12,567",2.2%
19,"山梨
※3",288,"12,697",2.3%
20,"⾧野
※3※5",495,"26,580",1.9%
21,"岐阜
※5",836,"30,009",2.8%
22,"静岡
※3※4",909,"49,650",1.8%
23,"※3※4※5
愛知","7,764","118,189",6.6%
24,"三重
※3",628,"17,127",3.7%
