,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,"滋賀
※３※６",109,"3,285",3.3%
2,京都,490,"13,461",3.6%
3,"大阪
※３※６","2,245","51,997",4.3%
4,"兵庫
※３,４,6",801,"18,644",4.3%
5,"奈良
※６",151,"5,045",3.0%
6,和歌山,89,"4,929",1.8%
7,"鳥取
※３",5,"2,210",0.2%
8,"島根
※６",25,"1,848",1.4%
9,岡山,36,"2,286",1.6%
10,"広島
※３",205,"8,806",2.3%
11,山口,42,"3,133",1.3%
12,"徳島
※３",10,"1,347",0.7%
13,"香川
※６",42,"3,418",1.2%
14,愛媛,82,"2,707",3.0%
15,高知,76,"2,116",3.6%
16,福岡,972,"18,945",5.1%
17,"佐賀
※３",47,"1,774",2.6%
18,長崎,32,"4,692",0.7%
19,熊本,50,"4,527",1.1%
20,大分,60,"5,675",1.1%
21,宮崎,20,"1,770",1.1%
22,鹿児島,164,"8,267",2.0%
23,沖縄,149,"3,457",4.3%
24,"長崎船
※２
その他",149,-,-
25,合計,"24,181","531,493",4.5%
