,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,"滋賀
※5","1,062","35,847",3.0%
2,京都,"4,105","87,310",4.7%
3,"大阪
※3※5","28,694","443,170",6.5%
4,"※3※4※5
兵庫","8,989","131,315",6.8%
5,"奈良
※5","1,843","46,358",4.0%
6,和歌山,594,"16,235",3.7%
7,"鳥取
※3※4",84,"23,151",0.4%
8,"島根
※5",194,"9,344",2.1%
9,"岡山
※4","1,245","31,723",3.9%
10,"広島
※3","2,815","65,962",4.3%
11,"山口
※4",516,"26,760",1.9%
12,"徳島
※3",195,"14,889",1.3%
13,"香川
※5",273,"22,824",1.2%
14,愛媛,407,"12,061",3.4%
15,高知,618,"5,688",10.9%
16,"※3※4※5
福岡","7,995","255,221",3.1%
17,"佐賀
※3",443,"14,538",3.0%
18,長崎,457,"37,590",1.2%
19,熊本,"1,669","33,475",5.0%
20,大分,617,"40,580",1.5%
21,宮崎,695,"12,114",5.7%
22,鹿児島,920,"36,020",2.6%
23,"沖縄
※3","5,169","86,612",6.0%
24,"長崎船
※2
その他",149,0,-
25,合計,"215,461","4,314,979",5.0%
