,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,"滋賀
※３※６",373,"7,555",4.9%
2,京都,"1,243","26,619",4.7%
3,"大阪
※３※６","7,586","116,195",6.5%
4,"兵庫
※３,４,6","2,033","38,650",5.3%
5,"奈良
※６",472,"12,714",3.7%
6,和歌山,223,"7,862",2.8%
7,"鳥取
※３",22,"4,434",0.5%
8,"島根
※６",134,"4,500",3.0%
9,岡山,133,"3,950",3.4%
10,"広島
※３",438,"16,687",2.6%
11,山口,100,"5,538",1.8%
12,"徳島
※３",104,"4,644",2.2%
13,"香川
※６",71,"7,001",1.0%
14,愛媛,112,"3,644",3.1%
15,高知,106,"2,694",3.9%
16,福岡,"3,900","36,617",10.7%
17,"佐賀
※３",214,"4,278",5.0%
18,長崎,192,"12,052",1.6%
19,熊本,442,"9,668",4.6%
20,大分,137,"10,655",1.3%
21,宮崎,303,"7,335",4.1%
22,鹿児島,340,"14,082",2.4%
23,"沖縄
※３","1,834","20,148",9.1%
24,"長崎船
※２
その他",149,0,-
25,合計,"59,988","1,153,978",5.2%
