,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,北海道,"1,619","36,031",4.5%
2,"青森
※３",33,"1,689",2.0%
3,"岩手
※３※６",8,"2,176",0.4%
4,"宮城
※３",184,"7,109",2.6%
5,秋田,42,"1,450",2.9%
6,山形,76,"3,002",2.5%
7,"福島
※３",105,"11,895",0.9%
8,茨城,452,"9,203",4.9%
9,"栃木
※３",276,"18,305",1.5%
10,"群馬
※３※６",298,"10,321",2.9%
11,埼玉,"3,221","87,801",3.7%
12,千葉,"2,463","44,503",5.5%
13,"東京
※１","17,714","253,605",7.0%
14,神奈川,"3,854","87,845",4.4%
15,"新潟
※３",129,"7,890",1.6%
16,"富山
※６",307,"6,591",4.7%
17,"石川
※３",456,"4,059",11.2%
18,"福井
※３",155,"5,886",2.6%
19,"山梨
※３",136,"8,444",1.6%
20,"長野
※３※６",148,"10,650",1.4%
21,"岐阜
※６",512,"15,272",3.4%
22,"静岡
※３、５",398,"18,540",2.1%
23,愛知,"3,454","37,041",9.3%
24,"三重
※３",281,"7,333",3.8%
