,0,1,2,3
0,都道府県名,陽性者数 検査人数※6,,％
1,北海道,954,"8,945",10.7%
2,"青森
※1",27,760,3.6%
3,"岩手
※1",0,418,0.0%
4,宮城,88,"2,297",3.8%
5,"秋田
※1",16,887,1.8%
6,"山形
※1",69,"2,456",2.8%
7,"福島
※1",81,"2,454",3.3%
8,茨城,168,"3,957",4.2%
9,"栃木
※1",56,"2,535",2.2%
10,"群馬
※1",147,"3,064",4.8%
11,埼玉,969,"12,884",7.5%
12,"千葉
※2",883,"12,793",6.9%
13,"東京
※3","4,883","13,124",37.2%
14,"神奈川
※4","1,178 
(215)","2,057",10.5%
15,"新潟
※1",82,"3,402",2.4%
16,富山,221,"2,849",7.8%
17,"石川
※1",280,"2,276",12.3%
18,"福井
※1",122,"2,097",5.8%
19,山梨,56,"2,981",1.9%
20,"長野
※1",75,"2,199",3.4%
21,岐阜,150,"3,490",4.3%
22,静岡,73,"3,116",2.3%
23,愛知,494,"8,437",5.9%
24,"三重
※1",45,"2,179",2.1%
