,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,北海道,"1,371","26,444",5.2%
2,"青森
※３",31,"1,317",2.4%
3,"岩手
※３※６",0,"1,290",0.0%
4,"宮城
※３",140,"5,464",2.6%
5,秋田,16,"1,054",1.5%
6,山形,75,"2,845",2.6%
7,"福島
※３",86,"8,913",1.0%
8,茨城,239,"6,442",3.7%
9,"栃木
※３",147,"11,980",1.2%
10,"群馬
※３※６",177,"7,279",2.4%
11,埼玉,"2,000","56,104",3.6%
12,千葉,"1,432","25,561",5.6%
13,"東京
※１","10,680","151,630",7.0%
14,神奈川,"2,188","16,219",13.5%
15,"新潟
※３",92,"5,858",1.6%
16,"富山
※６",235,"4,874",4.8%
17,"石川
※３",310,"3,075",10.1%
18,"福井
※３",127,"4,506",2.8%
19,"山梨
※３",85,"6,805",1.2%
20,"長野
※３※６",87,"5,557",1.6%
21,"岐阜
※６",216,"8,442",2.6%
22,"静岡
※３、５",119,"10,472",1.1%
23,愛知,869,"16,828",5.2%
24,"三重
※３",61,"3,501",1.7%
