,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,北海道,"1,105","15,221",7.3%
2,"青森
※３",27,878,3.1%
3,"岩手
※３",0,705,0.0%
4,"宮城
※３",88,"3,034",2.9%
5,秋田,16,942,1.7%
6,"山形
※４",69,"2,440",2.8%
7,"福島
※３",81,"4,871",1.7%
8,茨城,168,"4,772",3.5%
9,"栃木
※３",66,"4,567",1.4%
10,"群馬
※３",151,"3,845",3.9%
11,埼玉,"1,006","23,184",4.3%
12,千葉,904,"15,225",5.9%
13,"東京
※１","5,343","15,681",34.1%
14,神奈川,"1,387","10,327",13.4%
15,"新潟
※３",83,"4,334",1.9%
16,富山,227,"3,482",6.5%
17,"石川
※３",299,"2,770",10.8%
18,"福井
※３",122,"2,786",4.4%
19,"山梨
※３",65,"4,259",1.5%
20,"長野
※３",76,"2,818",2.7%
21,岐阜,151,"3,827",3.9%
22,静岡,75,"3,593",2.1%
23,愛知,509,"10,467",4.9%
24,"三重
※３",45,"2,561",1.8%
