,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,"滋賀
※３",99,"1,668",5.9%
2,京都,358,"7,335",4.9%
3,"大阪
※３","1,780","27,552",6.5%
4,兵庫,699,"10,438",6.7%
5,奈良,91,"2,754",3.3%
6,和歌山,63,"3,586",1.8%
7,鳥取,3,"1,279",0.2%
8,島根,24,"1,069",2.2%
9,岡山,25,"1,607",1.6%
10,"広島
※３",166,"6,656",2.5%
11,山口,37,"1,647",2.2%
12,"徳島
※３",5,692,0.7%
13,香川,28,"2,046",1.4%
14,愛媛,75,"1,796",4.2%
15,高知,74,"1,718",4.3%
16,福岡,658,"11,650",5.6%
17,"佐賀
※３",47,"1,361",3.5%
18,⾧崎,17,"2,625",0.6%
19,熊本,48,"3,778",1.3%
20,大分,60,"3,776",1.6%
21,宮崎,17,"1,333",1.3%
22,鹿児島,10,"1,666",0.6%
23,沖縄,142,"2,795",5.1%
24,"⾧崎船
※２
その他",149,-,-
25,合計,"16,339","224,972",7.3%
