,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,"滋賀
※5",793,"27,906",2.8%
2,京都,"2,671","66,502",4.0%
3,"大阪
※3※5","20,591","328,242",6.3%
4,"※3※4※5
兵庫","5,626","96,781",5.8%
5,"奈良
※5","1,157","33,415",3.5%
6,和歌山,462,"13,594",3.4%
7,"鳥取
※3※4",58,"16,572",0.3%
8,"島根
※5",148,"6,772",2.2%
9,"岡山
※4",609,"19,205",3.2%
10,"広島
※3",856,"35,884",2.4%
11,"山口
※4",391,"17,013",2.3%
12,"徳島
※3",181,"7,830",2.3%
13,"香川
※5",147,"17,282",0.9%
14,愛媛,320,"7,211",4.4%
15,高知,157,"3,770",4.2%
16,"※3※4※5
福岡","5,860","202,317",2.9%
17,"佐賀
※3",319,"9,795",3.3%
18,⾧崎,271,"27,249",1.0%
19,熊本,"1,021","24,059",4.2%
20,大分,309,"27,917",1.1%
21,宮崎,513,"9,821",5.2%
22,鹿児島,612,"27,621",2.2%
23,"沖縄
※3","4,353","73,253",5.9%
24,"⾧崎船
※2
その他",149,0,-
25,合計,"148,837","3,257,166",4.6%
