,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,"滋賀
※３",100,"1,931",5.2%
2,京都,358,"8,435",4.2%
3,"大阪
※３","1,783","32,461",5.5%
4,兵庫,699,"11,432",6.1%
5,奈良,92,"2,898",3.2%
6,和歌山,63,"3,759",1.7%
7,鳥取,3,"1,375",0.2%
8,島根,24,"1,153",2.1%
9,岡山,25,"1,747",1.4%
10,"広島
※３",168,"7,136",2.4%
11,山口,37,"1,818",2.0%
12,"徳島
※３",5,768,0.7%
13,香川,28,"2,256",1.2%
14,愛媛,82,"2,389",3.4%
15,高知,74,"1,824",4.1%
16,福岡,792,"13,785",5.7%
17,"佐賀
※３",47,"1,467",3.2%
18,長崎,17,"2,883",0.6%
19,熊本,48,"3,990",1.2%
20,大分,60,"4,169",1.4%
21,宮崎,17,"1,414",1.2%
22,鹿児島,10,"1,964",0.5%
23,沖縄,142,"2,908",4.9%
24,"長崎船
※２
その他",149,-,-
25,合計,"16,886","260,551",6.5%
