,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,"滋賀
※3※5",537,"13,710",3.9%
2,京都,"1,958","50,753",3.9%
3,"大阪
※3※5","11,976","223,402",5.4%
4,"※3※4※5
兵庫","3,078","65,855",4.7%
5,"奈良
※5",625,"23,806",2.6%
6,和歌山,270,"10,207",2.6%
7,"鳥取
※3",35,"5,582",0.6%
8,"島根
※5",140,"6,122",2.3%
9,"岡山
※4",194,"10,217",1.9%
10,"広島
※3",654,"26,568",2.5%
11,"山口
※4",213,"11,451",1.9%
12,"徳島
※3",164,"7,390",2.2%
13,"香川
※5",101,"12,950",0.8%
14,愛媛,116,"4,293",2.7%
15,高知,140,"3,604",3.9%
16,"※3※4※5
福岡","5,179","157,690",3.3%
17,"佐賀
※3",254,"6,897",3.7%
18,長崎,242,"21,532",1.1%
19,熊本,768,"19,032",4.0%
20,大分,159,"20,094",0.8%
21,宮崎,366,"8,741",4.2%
22,鹿児島,463,"21,698",2.1%
23,"沖縄
※3","3,134","52,894",5.9%
24,"長崎船
※2
その他",149,0,-
25,合計,"95,392","2,308,769",4.1%
