,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,北海道,"1,222","20,326",6.0%
2,"青森
※３",27,971,2.8%
3,"岩手
※３",0,918,0.0%
4,"宮城
※３",92,"3,682",2.5%
5,秋田,16,990,1.6%
6,山形,69,"2,533",2.7%
7,"福島
※３",82,"6,613",1.2%
8,茨城,173,"5,235",3.3%
9,"栃木
※３",69,"6,954",1.0%
10,"群馬
※３",152,"4,921",3.1%
11,埼玉,"1,109","33,238",3.3%
12,千葉,949,"18,047",5.3%
13,"東京
※１","6,114","77,406",7.9%
14,神奈川,"1,464","12,347",11.9%
15,"新潟
※３",84,"4,860",1.7%
16,富山,227,"3,896",5.8%
17,"石川
※３",300,"2,898",10.4%
18,"福井
※３",122,"3,372",3.6%
19,"山梨
※３",72,"5,495",1.3%
20,"長野
※３",77,"3,255",2.4%
21,岐阜,156,"5,128",3.0%
22,"静岡
※３、６",80,"7,324",1.1%
23,愛知,523,"12,445",4.2%
24,"三重
※３",46,"2,854",1.6%
