,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,"滋賀
※３※６",324,"6,648",4.9%
2,京都,"1,061","23,577",4.5%
3,"大阪
※３※６","6,547","101,308",6.5%
4,"兵庫
※３,４,6","1,776","34,579",5.1%
5,"奈良
※６",364,"11,572",3.1%
6,和歌山,190,"7,222",2.6%
7,"鳥取
※３",21,"4,274",0.5%
8,"島根
※６",132,"3,795",3.5%
9,岡山,123,"3,738",3.3%
10,"広島
※３",430,"15,725",2.7%
11,山口,82,"4,914",1.7%
12,"徳島
※３",81,"3,419",2.4%
13,"香川
※６",61,"6,215",1.0%
14,愛媛,109,"3,379",3.2%
15,高知,83,"2,443",3.4%
16,福岡,"3,359","33,457",10.0%
17,"佐賀
※３",180,"3,799",4.7%
18,⾧崎,178,"10,410",1.7%
19,熊本,380,"8,480",4.5%
20,大分,94,"8,703",1.1%
21,宮崎,253,"6,761",3.7%
22,鹿児島,281,"12,663",2.2%
23,"沖縄
※３","1,510","16,129",9.4%
24,"⾧崎船
※２
その他",149,0,-
25,合計,"52,869","1,022,133",5.2%
