,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,北海道,"1,960","53,173",3.7%
2,"青森
※３",35,"2,282",1.5%
3,"岩手
※３※６",23,"3,860",0.6%
4,"宮城
※３",367,"9,738",3.8%
5,秋田,53,"1,964",2.7%
6,山形,78,"5,038",1.5%
7,"福島
※３",225,"18,429",1.2%
8,茨城,627,"12,026",5.2%
9,"栃木
※３",400,"27,909",1.4%
10,"群馬
※３※６",670,"18,959",3.5%
11,埼玉,"4,448","131,305",3.4%
12,千葉,"3,651","74,727",4.9%
13,"東京
※１","24,306","411,359",5.9%
14,神奈川,"6,403","138,519",4.6%
15,"新潟
※６",165,"14,594",1.1%
16,"富山
※６",410,"11,364",3.6%
17,"石川
※３",756,"11,835",6.4%
18,"福井
※３",244,"9,502",2.6%
19,"山梨
※３",180,"10,263",1.8%
20,"長野
※３※６",303,"17,873",1.7%
21,"岐阜
※６",599,"21,238",2.8%
22,"静岡
※３、５",517,"31,367",1.6%
23,愛知,"5,103","69,242",7.4%
24,"三重
※３",475,"11,898",4.0%
