,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,"滋賀
※３※６",486,"11,394",4.3%
2,京都,"1,710","40,610",4.2%
3,"大阪
※３※６","10,333","176,780",5.8%
4,"兵庫
※３,４,6","2,624","54,134",4.8%
5,"奈良
※６",560,"19,870",2.8%
6,和歌山,238,"9,188",2.6%
7,"鳥取
※３",36,"5,397",0.7%
8,"島根
※６",140,"5,366",2.6%
9,岡山,150,"8,110",1.8%
10,"広島
※３",496,"20,198",2.5%
11,山口,195,"9,322",2.1%
12,"徳島
※３",147,"6,835",2.2%
13,"香川
※６",93,"10,406",0.9%
14,愛媛,114,"4,037",2.8%
15,高知,137,"3,428",4.0%
16,福岡,"5,017","47,045",10.7%
17,"佐賀
※３",244,"5,796",4.2%
18,長崎,236,"17,828",1.3%
19,熊本,572,"16,183",3.5%
20,大分,158,"16,202",1.0%
21,宮崎,344,"8,534",4.0%
22,鹿児島,400,"18,249",2.2%
23,"沖縄
※３","2,389","37,465",6.4%
24,"長崎船
※２
その他",149,0,-
25,合計,"80,118","1,731,575",4.6%
