,0,1,2,3
0,都道府県名,陽性者数 検査人数※4,,％
1,北海道,989,"9,938",10.0%
2,"青森
※1",27,797,3.4%
3,"岩手
※1",0,465,0.0%
4,宮城,88,"2,475",3.6%
5,秋田,16,905,1.8%
6,山形,69,"2,541",2.7%
7,福島,81,"2,827",2.9%
8,茨城,168,"4,252",4.0%
9,栃木,58,"2,795",2.1%
10,群馬,147,"3,237",4.5%
11,"埼玉
※1",979,"15,348",6.4%
12,千葉,890,"12,272",7.3%
13,"東京
※2","5,036","14,010",35.9%
14,神奈川,"1,251","7,931",15.8%
15,新潟,83,"3,710",2.2%
16,富山,224,"2,935",7.6%
17,石川,285,"2,448",11.6%
18,福井,122,"2,297",5.3%
19,山梨,57,"3,205",1.8%
20,⾧野,76,"2,324",3.3%
21,岐阜,150,"3,018",5.0%
22,静岡,73,"3,261",2.2%
23,愛知,503,"8,773",5.7%
24,"三重
※1",45,"2,264",2.0%
