,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,北海道,"1,828","47,213",3.9%
2,"青森
※３",35,"2,126",1.6%
3,"岩手
※３※６",23,"3,439",0.7%
4,"宮城
※３",242,"8,308",2.9%
5,秋田,50,"1,834",2.7%
6,山形,78,"3,130",2.5%
7,"福島
※３",179,"15,917",1.1%
8,茨城,583,"11,303",5.2%
9,"栃木
※３",314,"24,277",1.3%
10,"群馬
※３※６",492,"15,694",3.1%
11,埼玉,"4,136","115,297",3.6%
12,千葉,"3,225","60,171",5.4%
13,"東京
※１","21,849","355,758",6.1%
14,神奈川,"5,460","123,815",4.4%
15,"新潟
※６",145,"13,350",1.1%
16,"富山
※６",402,"9,947",4.0%
17,"石川
※３",708,"9,509",7.4%
18,"福井
※３",243,"8,887",2.7%
19,"山梨
※３",176,"9,815",1.8%
20,"⾧野
※３※６",290,"16,285",1.8%
21,"岐阜
※６",564,"18,884",3.0%
22,"静岡
※３、５",494,"27,475",1.8%
23,愛知,"4,698","58,530",8.0%
24,"三重
※３",424,"10,641",4.0%
