,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,北海道,"1,015","10,885",9.3%
2,"青森
※３",27,804,3.4%
3,"岩手
※３",0,554,0.0%
4,"宮城
※３",88,"2,588",3.4%
5,秋田,16,913,1.8%
6,"山形
※３",69,"2,576",2.7%
7,"福島
※３",81,"3,338",2.4%
8,茨城,168,"4,346",3.9%
9,"栃木
※３",61,"2,952",2.1%
10,"群馬
※３",148,"3,349",4.4%
11,埼玉,991,"16,890",5.9%
12,千葉,900,"13,050",6.9%
13,"東京
※１","5,070","14,464",35.1%
14,神奈川,"1,284","8,317",15.4%
15,"新潟
※３",83,"3,843",2.2%
16,富山,227,"3,000",7.6%
17,"石川
※３",290,"2,513",11.5%
18,"福井
※３",122,"2,347",5.2%
19,"山梨
※３",58,"3,395",1.7%
20,"⾧野
※３",76,"2,450",3.1%
21,岐阜,150,"3,083",4.9%
22,静岡,73,"3,315",2.2%
23,愛知,506,"9,176",5.5%
24,"三重
※３",45,"2,362",1.9%
