,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,"滋賀
※5",814,"29,103",2.8%
2,京都,"2,736","68,469",4.0%
3,"大阪
※3※5","22,197","347,916",6.4%
4,"※3※4※5
兵庫","6,169","102,264",6.0%
5,"奈良
※5","1,291","35,104",3.7%
6,和歌山,490,"13,948",3.5%
7,"鳥取
※3※4",61,"18,010",0.3%
8,"島根
※5",153,"7,158",2.1%
9,"岡山
※4",645,"20,802",3.1%
10,"広島
※3","1,023","35,884",2.9%
11,"山口
※4",409,"19,028",2.1%
12,"徳島
※3",185,"7,906",2.3%
13,"香川
※5",159,"18,005",0.9%
14,愛媛,341,"8,364",4.1%
15,高知,215,"3,998",5.4%
16,"※3※4※5
福岡","5,977","210,049",2.8%
17,"佐賀
※3",336,"10,424",3.2%
18,長崎,273,"28,117",1.0%
19,熊本,"1,079","24,904",4.3%
20,大分,378,"30,004",1.3%
21,宮崎,545,"10,314",5.3%
22,鹿児島,637,"28,192",2.3%
23,"沖縄
※3","4,535","75,471",6.0%
24,"長崎船
※2
その他",149,0,-
25,合計,"158,500","3,397,683",4.7%
