,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,北海道,"12,307","213,422",5.8%
2,"青森
※3",391,"8,675",4.5%
3,"※3※4※5
岩手",336,"12,981",2.6%
4,"宮城
※3※5","1,776","23,979",7.4%
5,秋田,95,"3,951",2.4%
6,山形,324,"9,645",3.4%
7,"福島
※3",754,"50,452",1.5%
8,茨城,"2,149","18,301",11.7%
9,"栃木
※3※5","1,039","66,532",1.6%
10,"群馬
※3※5","1,950","47,293",4.1%
11,"埼玉
※4","11,789","287,305",4.1%
12,千葉,"9,172","206,425",4.4%
13,"東京
※1","51,838","913,711",5.7%
14,神奈川,"17,039","318,768",5.3%
15,"新潟
※3※5",443,"25,787",1.7%
16,"富山
※3※5",494,"20,063",2.5%
17,"石川
※3",967,"26,934",3.6%
18,"福井
※3",337,"17,495",1.9%
19,"山梨
※3",488,"14,339",3.4%
20,"⾧野
※3※5","1,050","41,682",2.5%
21,"岐阜
※5","1,748","56,624",3.1%
22,"静岡
※3※4","2,383","78,035",3.1%
23,"※3※4※5
愛知","14,127","171,494",8.2%
24,"三重
※3","1,151","26,913",4.3%
