,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,"滋賀
※３※６",471,"10,451",4.5%
2,京都,"1,607","35,638",4.5%
3,"大阪
※３※６","9,527","157,124",6.1%
4,"兵庫
※３,４,6","2,435","49,171",5.0%
5,"奈良
※６",545,"18,233",3.0%
6,和歌山,236,"8,898",2.7%
7,"鳥取
※３",23,"4,615",0.5%
8,"島根
※６",137,"5,186",2.6%
9,岡山,146,"7,511",1.9%
10,"広島
※３",464,"18,642",2.5%
11,山口,194,"8,068",2.4%
12,"徳島
※３",147,"6,595",2.2%
13,"香川
※６",87,"9,272",0.9%
14,愛媛,114,"3,921",2.9%
15,高知,137,"3,303",4.1%
16,福岡,"4,932","44,529",11.1%
17,"佐賀
※３",244,"5,508",4.4%
18,長崎,235,"16,363",1.4%
19,熊本,568,"12,903",4.4%
20,大分,158,"14,477",1.1%
21,宮崎,340,"8,279",4.1%
22,鹿児島,372,"17,075",2.2%
23,"沖縄
※３","2,280","31,694",7.2%
24,"長崎船
※２
その他",149,0,-
25,合計,"74,360","1,529,943",4.9%
