,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,"滋賀
※３※６",464,"9,952",4.7%
2,京都,"1,575","34,050",4.6%
3,"大阪
※３※６","9,088","147,096",6.2%
4,"兵庫
※３,４,6","2,354","47,189",5.0%
5,"奈良
※６",538,"15,262",3.5%
6,和歌山,234,"8,787",2.7%
7,"鳥取
※３",22,"4,588",0.5%
8,"島根
※６",137,"5,010",2.7%
9,岡山,146,"7,049",2.1%
10,"広島
※３",459,"18,346",2.5%
11,山口,184,"7,288",2.5%
12,"徳島
※３",145,"6,371",2.3%
13,"香川
※６",84,"8,794",1.0%
14,愛媛,114,"3,881",2.9%
15,高知,132,"3,229",4.1%
16,福岡,"4,817","43,120",11.2%
17,"佐賀
※３",241,"5,272",4.6%
18,⾧崎,234,"15,530",1.5%
19,熊本,547,"12,352",4.4%
20,大分,157,"13,543",1.2%
21,宮崎,339,"8,190",4.1%
22,鹿児島,371,"16,697",2.2%
23,"沖縄
※３","2,229","29,703",7.5%
24,"⾧崎船
※２
その他",149,0,-
25,合計,"71,398","1,442,904",4.9%
