,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,北海道,"1,413","28,554",4.9%
2,"青森
※３",32,"1,445",2.2%
3,"岩手
※３※６",3,"1,480",0.2%
4,"宮城
※３",158,"5,843",2.7%
5,秋田,18,"1,146",1.6%
6,山形,76,"2,894",2.6%
7,"福島
※３",89,"9,845",0.9%
8,茨城,280,"7,081",4.0%
9,"栃木
※３",195,"13,517",1.4%
10,"群馬
※３※６",190,"8,173",2.3%
11,埼玉,"2,313","66,219",3.5%
12,千葉,"1,656","28,022",5.9%
13,"東京
※１","12,691","187,764",6.8%
14,神奈川,"2,484","18,126",13.7%
15,"新潟
※３",111,"6,417",1.7%
16,"富山
※６",238,"5,323",4.5%
17,"石川
※３",321,"3,266",9.8%
18,"福井
※３",139,"4,852",2.9%
19,"山梨
※３",94,"7,260",1.3%
20,"長野
※３※６",105,"7,146",1.5%
21,"岐阜
※６",331,"10,353",3.2%
22,"静岡
※３、５",269,"13,280",2.0%
23,愛知,"1,609","22,910",7.0%
24,"三重
※３",91,"4,322",2.1%
