,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,"※3※5※6
滋賀",625,"14,966",4.2%
2,京都,"2,174","55,334",3.9%
3,"大阪
※3※5","14,120","257,164",5.5%
4,"※3※4※5
兵庫","3,538","73,509",4.8%
5,"奈良
※5",754,"26,411",2.9%
6,和歌山,291,"10,767",2.7%
7,"鳥取
※3",51,"6,013",0.8%
8,"島根
※5",141,"6,281",2.2%
9,"岡山
※4",341,"11,198",3.0%
10,"広島
※3",678,"29,061",2.3%
11,"山口
※4",231,"11,960",1.9%
12,"徳島
※3",170,"7,603",2.2%
13,"香川
※5",107,"14,353",0.7%
14,愛媛,117,"4,468",2.6%
15,高知,144,"3,680",3.9%
16,"※3※4※5
福岡","5,307","173,880",3.1%
17,"佐賀
※3",274,"7,808",3.5%
18,長崎,249,"23,873",1.0%
19,熊本,860,"21,086",4.1%
20,大分,161,"22,162",0.7%
21,宮崎,373,"8,828",4.2%
22,鹿児島,537,"24,022",2.2%
23,"沖縄
※3","3,561","61,958",5.7%
24,"長崎船
※2
その他",149,0,-
25,合計,"108,865","2,626,215",4.1%
