,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,北海道,"3,868","91,667",4.2%
2,"青森
※3",273,"5,899",4.6%
3,"※3※4※5
岩手",30,"5,655",0.5%
4,"宮城
※3※5",852,"15,141",5.6%
5,秋田,67,"2,642",2.5%
6,山形,87,"6,750",1.3%
7,"福島
※3",415,"31,746",1.3%
8,茨城,818,"14,162",5.8%
9,"栃木
※3※5",498,"45,794",1.1%
10,"群馬
※3※5",925,"30,551",3.0%
11,"埼玉
※4","6,246","195,066",3.2%
12,千葉,"5,354","135,791",3.9%
13,"東京
※1","32,618","627,902",5.2%
14,神奈川,"9,340","209,445",4.5%
15,"新潟
※3※5",195,"18,323",1.1%
16,"富山
※3※5",424,"15,001",2.8%
17,"石川
※3",822,"18,534",4.4%
18,"福井
※3",259,"11,262",2.3%
19,"山梨
※3",225,"11,926",1.9%
20,"⾧野
※3※5",370,"24,098",1.5%
21,"岐阜
※5",735,"27,945",2.6%
22,"静岡
※3※4",707,"44,670",1.6%
23,"※3※4※5
愛知","6,731","106,326",6.3%
24,"三重
※3",596,"16,342",3.6%
