,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,北海道,"1,102","14,931",7.4%
2,"青森
※３",27,875,3.1%
3,"岩手
※３",0,699,0.0%
4,"宮城
※３",88,"3,012",2.9%
5,秋田,16,940,1.7%
6,"山形
※４",69,"2,422",2.8%
7,"福島
※３",81,"4,765",1.7%
8,茨城,168,"4,746",3.5%
9,"栃木
※３",66,"4,438",1.5%
10,"群馬
※３",149,"3,796",3.9%
11,埼玉,"1,005","22,634",4.4%
12,千葉,907,"15,076",6.0%
13,"東京
※１","5,323","15,498",34.3%
14,神奈川,"1,381","10,210",13.5%
15,"新潟
※３",83,"4,291",1.9%
16,富山,227,"3,454",6.6%
17,"石川
※３",298,"2,758",10.8%
18,"福井
※３",122,"2,756",4.4%
19,"山梨
※３",65,"4,202",1.5%
20,"長野
※３",76,"2,801",2.7%
21,岐阜,151,"3,766",4.0%
22,静岡,76,"3,566",2.1%
23,愛知,509,"10,284",4.9%
24,"三重
※３",45,"2,552",1.8%
