,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,"滋賀
※３※６",495,"11,641",4.3%
2,京都,"1,731","41,742",4.1%
3,"大阪
※３※６","10,483","180,249",5.8%
4,"兵庫
※３,４,6","2,674","55,275",4.8%
5,"奈良
※６",567,"20,290",2.8%
6,和歌山,240,"9,244",2.6%
7,"鳥取
※３",36,"5,428",0.7%
8,"島根
※６",140,"5,652",2.5%
9,岡山,154,"8,110",1.9%
10,"広島
※３",533,"20,619",2.6%
11,山口,198,"9,601",2.1%
12,"徳島
※３",147,"6,875",2.1%
13,"香川
※６",93,"10,520",0.9%
14,愛媛,114,"4,049",2.8%
15,高知,138,"3,459",4.0%
16,福岡,"5,027","47,195",10.7%
17,"佐賀
※３",245,"5,874",4.2%
18,長崎,236,"18,085",1.3%
19,熊本,572,"16,338",3.5%
20,大分,158,"16,449",1.0%
21,宮崎,344,"8,560",4.0%
22,鹿児島,411,"18,752",2.2%
23,"沖縄
※３","2,441","38,286",6.4%
24,"長崎船
※２
その他",149,0,-
25,合計,"81,537","1,766,397",4.6%
