,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,"滋賀
※5",857,"30,905",2.8%
2,京都,"3,076","73,836",4.2%
3,"大阪
※3※5","24,621","376,794",6.5%
4,"※3※4※5
兵庫","7,091","111,465",6.4%
5,"奈良
※5","1,465","38,382",3.8%
6,和歌山,551,"14,814",3.7%
7,"鳥取
※3※4",67,"19,468",0.3%
8,"島根
※5",165,"7,659",2.2%
9,"岡山
※4",702,"24,136",2.9%
10,"広島
※3","1,436","43,500",3.3%
11,"山口
※4",433,"22,347",1.9%
12,"徳島
※3",187,"13,839",1.4%
13,"香川
※5",199,"19,231",1.0%
14,愛媛,358,"9,691",3.7%
15,高知,339,"4,577",7.4%
16,"※3※4※5
福岡","6,551","223,229",2.9%
17,"佐賀
※3",378,"11,599",3.3%
18,長崎,290,"29,630",1.0%
19,熊本,"1,210","27,774",4.4%
20,大分,508,"33,687",1.5%
21,宮崎,584,"10,923",5.3%
22,鹿児島,796,"30,031",2.7%
23,"沖縄
※3","4,785","79,250",6.0%
24,"長崎船
※2
その他",149,0,-
25,合計,"175,608","3,674,298",4.8%
