,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,"滋賀
※３※６",454,"9,392",4.8%
2,京都,"1,474","32,102",4.6%
3,"大阪
※３※６","8,752","138,267",6.3%
4,"兵庫
※３,４,6","2,297","45,186",5.1%
5,"奈良
※６",524,"12,990",4.0%
6,和歌山,231,"8,665",2.7%
7,"鳥取
※３",22,"4,566",0.5%
8,"島根
※６",137,"4,911",2.8%
9,岡山,145,"5,880",2.5%
10,"広島
※３",459,"17,843",2.6%
11,山口,175,"6,976",2.5%
12,"徳島
※３",137,"6,023",2.3%
13,"香川
※６",78,"8,291",0.9%
14,愛媛,114,"3,828",3.0%
15,高知,129,"3,115",4.1%
16,福岡,"4,636","41,214",11.2%
17,"佐賀
※３",239,"5,151",4.6%
18,長崎,232,"14,973",1.5%
19,熊本,528,"11,621",4.5%
20,大分,150,"12,804",1.2%
21,宮崎,338,"8,126",4.2%
22,鹿児島,363,"16,024",2.3%
23,"沖縄
※３","2,152","25,883",8.3%
24,"長崎船
※２
その他",149,0,-
25,合計,"68,785","1,364,339",5.0%
