,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,北海道,"1,192","18,834",6.3%
2,"青森
※３",27,941,2.9%
3,"岩手
※３",0,837,0.0%
4,"宮城
※３",89,"3,422",2.6%
5,秋田,16,979,1.6%
6,山形,69,"2,498",2.8%
7,"福島
※３",82,"6,076",1.3%
8,茨城,170,"5,125",3.3%
9,"栃木
※３",66,"6,095",1.1%
10,"群馬
※３",151,"4,594",3.3%
11,埼玉,"1,031","29,928",3.4%
12,千葉,924,"17,122",5.4%
13,"東京
※１","5,748","65,496",8.8%
14,神奈川,"1,428","11,826",12.1%
15,"新潟
※３",84,"4,711",1.8%
16,富山,227,"3,787",6.0%
17,"石川
※３",299,"2,863",10.4%
18,"福井
※３",122,"3,202",3.8%
19,"山梨
※３",72,"5,175",1.4%
20,"長野
※３",77,"3,105",2.5%
21,岐阜,156,"4,698",3.3%
22,静岡,80,"3,749",2.1%
23,愛知,521,"11,750",4.4%
24,"三重
※３",46,"2,705",1.7%
