,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,北海道,"1,632","36,655",4.5%
2,"青森
※３",33,"1,755",1.9%
3,"岩手
※３※６",9,"2,257",0.4%
4,"宮城
※３",185,"7,166",2.6%
5,秋田,44,"1,578",2.8%
6,山形,76,"3,007",2.5%
7,"福島
※３",109,"12,215",0.9%
8,茨城,463,"9,419",4.9%
9,"栃木
※３",282,"18,751",1.5%
10,"群馬
※３※６",307,"10,523",2.9%
11,埼玉,"3,280","92,173",3.6%
12,千葉,"2,532","45,960",5.5%
13,"東京
※１","18,082","265,644",6.8%
14,神奈川,"3,988","93,284",4.3%
15,"新潟
※３※６",133,"11,029",1.2%
16,"富山
※６",319,"6,762",4.7%
17,"石川
※３",486,"4,189",11.6%
18,"福井
※３",155,"5,978",2.6%
19,"山梨
※３",142,"8,731",1.6%
20,"長野
※３※６",150,"11,135",1.3%
21,"岐阜
※６",520,"15,712",3.3%
22,"静岡
※３、５",425,"19,718",2.2%
23,愛知,"3,787","40,609",9.3%
24,"三重
※３",285,"7,642",3.7%
