,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,北海道,"1,428","29,114",4.9%
2,"青森
※３",32,"1,445",2.2%
3,"岩手
※３※６",4,"1,567",0.3%
4,"宮城
※３",160,"5,932",2.7%
5,秋田,18,"1,146",1.6%
6,山形,76,"2,911",2.6%
7,"福島
※３",89,"9,962",0.9%
8,茨城,294,"7,081",4.2%
9,"栃木
※３",195,"13,589",1.4%
10,"群馬
※３※６",191,"8,285",2.3%
11,埼玉,"2,387","66,491",3.6%
12,千葉,"1,656","28,022",5.9%
13,"東京
※１","12,691","191,114",6.6%
14,神奈川,"2,542","18,126",14.0%
15,"新潟
※３",114,"6,530",1.7%
16,"富山
※６",243,"5,323",4.6%
17,"石川
※３",322,"3,283",9.8%
18,"福井
※３",139,"4,945",2.8%
19,"山梨
※３",94,"7,260",1.3%
20,"長野
※６",111,"7,279",1.5%
21,"岐阜
※６",344,"10,691",3.2%
22,"静岡
※３、５",269,"13,280",2.0%
23,愛知,"1,796","22,910",7.8%
24,"三重
※３",101,"4,424",2.3%
