,0,1,2,3
0,都道府県名,陽性者数 検査人数※3,,％
1,"滋賀
※5※6",720,"24,685",2.9%
2,京都,"2,409","60,062",4.0%
3,"大阪
※3※5","16,744","288,368",5.8%
4,"※3※4※5
兵庫","4,355","82,174",5.3%
5,"奈良
※5",952,"29,663",3.2%
6,和歌山,372,"11,946",3.1%
7,"鳥取
※3",53,"6,185",0.9%
8,"島根
※5",142,"6,498",2.2%
9,"岡山
※4",458,"17,220",2.7%
10,"広島
※3",726,"31,670",2.3%
11,"山口
※4",326,"13,795",2.4%
12,"徳島
※3",176,"7,712",2.3%
13,"香川
※5",127,"15,760",0.8%
14,愛媛,164,"5,091",3.2%
15,高知,144,"3,700",3.9%
16,"※3※4※5
福岡","5,477","187,533",2.9%
17,"佐賀
※3",290,"8,602",3.4%
18,長崎,254,"25,507",1.0%
19,熊本,951,"22,677",4.2%
20,大分,208,"24,521",0.8%
21,宮崎,398,"8,918",4.5%
22,鹿児島,592,"25,683",2.3%
23,"沖縄
※3","3,925","66,496",5.9%
24,"長崎船
※2
その他",149,0,-
25,合計,"126,256","2,911,577",4.3%
