,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,北海道,"1,876","49,898",3.8%
2,"青森
※３",35,"2,217",1.6%
3,"岩手
※３※６",23,"3,727",0.6%
4,"宮城
※３",310,"8,955",3.5%
5,秋田,51,"1,862",2.7%
6,山形,78,"4,895",1.6%
7,"福島
※３",211,"17,156",1.2%
8,茨城,614,"11,777",5.2%
9,"栃木
※３",359,"25,830",1.4%
10,"群馬
※３※６",553,"17,456",3.2%
11,埼玉,"4,302","124,854",3.4%
12,千葉,"3,416","68,010",5.0%
13,"東京
※１","23,083","386,979",6.0%
14,神奈川,"5,960","131,185",4.5%
15,"新潟
※６",149,"13,917",1.1%
16,"富山
※６",408,"10,945",3.7%
17,"石川
※３",731,"10,793",6.8%
18,"福井
※３",244,"9,242",2.6%
19,"山梨
※３",179,"10,072",1.8%
20,"長野
※３※６",296,"17,264",1.7%
21,"岐阜
※６",594,"20,034",3.0%
22,"静岡
※３、５",504,"30,159",1.7%
23,愛知,"4,897","62,807",7.8%
24,"三重
※３",460,"11,265",4.1%
